keyword,score,embeddings,file,file_path
installing turbocharger,0.6635,"[[-0.02325964 -0.01385547 -0.0261911  ... -0.00026617 -0.06361433
   0.01119818]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
turbocharger assembly,0.6193,"[[-0.00231991 -0.01731281 -0.02383957 ...  0.03047135 -0.06715324
   0.04780258]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
remove turbocharger,0.6089,"[[-0.01728424 -0.02043768 -0.02597515 ...  0.02679056 -0.04973935
   0.01742551]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
overview turbocharger assembly,0.6043,"[[ 0.01538247 -0.02468077 -0.03400809 ...  0.02814361 -0.0470046
   0.01278283]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
engine cover removing,0.6015,"[[-0.04449224 -0.01135848 -0.02712155 ...  0.02681456 -0.03435482
   0.00603899]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
turbocharger assembly overview,0.6013,"[[ 0.00510715 -0.03401359 -0.02876275 ...  0.025195   -0.04246908
   0.02556181]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
connection installing turbocharger,0.6006,"[[-0.02448221 -0.01032267 -0.01846255 ...  0.02608016 -0.02697223
   0.0090827 ]]",K00.5928.11_X-4HYXBX2540B_en.html,data\VW\K00.5928.11_X-4HYXBX2540B_en.html
cooling remove camshaft,0.6616,"[[-0.0126673  -0.01564862 -0.0595599  ...  0.04755188 -0.02598336
   0.06060659]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
camshafts removing,0.6386,"[[-0.03424921 -0.02229062 -0.04982176 ...  0.02533861 -0.0258198
   0.06135363]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
camshaft removing,0.6376,"[[-0.03991299 -0.01638086 -0.04837359 ...  0.02623874 -0.03107584
   0.06781072]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
installing camshaft removing,0.6361,"[[-0.03990247 -0.01980149 -0.0419323  ...  0.01310236 -0.04874939
   0.0615248 ]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
camshaft removing installing,0.6327,"[[-0.03826452 -0.01447803 -0.04569763 ...  0.0170533  -0.04725293
   0.06172889]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
camshafts removing camshaft,0.6312,"[[-0.01996353  0.01178302 -0.05291936 ...  0.0220372  -0.00967164
   0.05251082]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
removing camshaft timing,0.6285,"[[-0.0284078  -0.0353408  -0.04045627 ...  0.00206053 -0.02820715
   0.03264432]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
removing camshaft,0.6271,"[[-0.03467731 -0.01170446 -0.0443602  ...  0.01338715 -0.04274907
   0.0672134 ]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
chain camshafts removing,0.6246,"[[-0.02169054 -0.02608624 -0.04905017 ...  0.03802806 -0.02239246
   0.068692  ]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
removing installing camshaft,0.6222,"[[-0.03347775 -0.00649272 -0.04640226 ... -0.00444299 -0.06301428
   0.05757891]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
engine cooling,0.622,"[[ 0.02441534 -0.02056495 -0.05474776 ...  0.06617509  0.01126871
   0.01061377]]",K00.5928.11_X-K6D34843_en.html,data\VW\K00.5928.11_X-K6D34843_en.html
